date_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2020-09-02T22:31:04Z,0.822,0.448,9,-4.33,1,0.0465,0.296,3.28e-06,0.0683,0.45,105.01,audio_features,0vBlrSOT8xxEBgKay0Otr4,spotify:track:0vBlrSOT8xxEBgKay0Otr4,https://api.spotify.com/v1/tracks/0vBlrSOT8xxEBgKay0Otr4,https://api.spotify.com/v1/audio-analysis/0vBlrSOT8xxEBgKay0Otr4,170364,4
2020-09-02T21:00:40Z,0.588,0.486,4,-5.658,0,0.0449,0.508,0.0,0.128,0.158,83.725,audio_features,5pvqXgUhiQsNZ9whFVjtaa,spotify:track:5pvqXgUhiQsNZ9whFVjtaa,https://api.spotify.com/v1/tracks/5pvqXgUhiQsNZ9whFVjtaa,https://api.spotify.com/v1/audio-analysis/5pvqXgUhiQsNZ9whFVjtaa,165880,4
2020-08-31T19:47:34Z,0.85,0.76,4,-6.124,0,0.0493,0.117,6.5e-06,0.125,0.949,112.058,audio_features,0qftOuADfbazdgN4qiZet7,spotify:track:0qftOuADfbazdgN4qiZet7,https://api.spotify.com/v1/tracks/0qftOuADfbazdgN4qiZet7,https://api.spotify.com/v1/audio-analysis/0qftOuADfbazdgN4qiZet7,239800,4
2020-08-30T23:56:56Z,0.313,0.258,2,-11.532,1,0.0383,0.842,1.3e-06,0.0948,0.268,179.947,audio_features,65YnIFKuwUCLIqMHAP8TAm,spotify:track:65YnIFKuwUCLIqMHAP8TAm,https://api.spotify.com/v1/tracks/65YnIFKuwUCLIqMHAP8TAm,https://api.spotify.com/v1/audio-analysis/65YnIFKuwUCLIqMHAP8TAm,211813,4
2020-08-30T23:45:27Z,0.372,0.343,5,-10.624,0,0.0301,0.92,0.451,0.116,0.139,179.29,audio_features,3QWxiXXjJiuitZmounGUzq,spotify:track:3QWxiXXjJiuitZmounGUzq,https://api.spotify.com/v1/tracks/3QWxiXXjJiuitZmounGUzq,https://api.spotify.com/v1/audio-analysis/3QWxiXXjJiuitZmounGUzq,182613,3
2020-08-27T16:05:22Z,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,audio_features,4pvb0WLRcMtbPGmtejJJ6y,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,https://api.spotify.com/v1/tracks/4pvb0WLRcMtbPGmtejJJ6y,https://api.spotify.com/v1/audio-analysis/4pvb0WLRcMtbPGmtejJJ6y,285634,4
2020-08-27T16:00:04Z,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,audio_features,1RvQQGwaPipiNgz8RXAKA8,spotify:track:1RvQQGwaPipiNgz8RXAKA8,https://api.spotify.com/v1/tracks/1RvQQGwaPipiNgz8RXAKA8,https://api.spotify.com/v1/audio-analysis/1RvQQGwaPipiNgz8RXAKA8,220827,4
2020-08-26T13:54:22Z,0.646,0.697,8,-8.423,0,0.0784,0.393,6.74e-05,0.0892,0.18,104.969,audio_features,2g45npSXlG2iINJ5PjS1KK,spotify:track:2g45npSXlG2iINJ5PjS1KK,https://api.spotify.com/v1/tracks/2g45npSXlG2iINJ5PjS1KK,https://api.spotify.com/v1/audio-analysis/2g45npSXlG2iINJ5PjS1KK,192078,4
2020-08-26T13:39:07Z,0.708,0.75,6,-4.532,0,0.0304,0.399,1.13e-06,0.324,0.661,136.016,audio_features,6QvPuCtnDIzTSK90mkFfXI,spotify:track:6QvPuCtnDIzTSK90mkFfXI,https://api.spotify.com/v1/tracks/6QvPuCtnDIzTSK90mkFfXI,https://api.spotify.com/v1/audio-analysis/6QvPuCtnDIzTSK90mkFfXI,197907,4
2020-08-22T20:16:27Z,0.809,0.81,7,-5.278,0,0.0341,0.676,0.000466,0.0547,0.4,120.643,audio_features,5NgGZvkizbK3Fv15ehL3W3,spotify:track:5NgGZvkizbK3Fv15ehL3W3,https://api.spotify.com/v1/tracks/5NgGZvkizbK3Fv15ehL3W3,https://api.spotify.com/v1/audio-analysis/5NgGZvkizbK3Fv15ehL3W3,442347,4
